,date,cof_cost,cof_vol,bn_cost,bn_vol,pk_cost,pk_vol,wheat_cost,wheat_vol,al_cost,al_vol
0,2022- 10- 31,177.7,26370,1419.5,,84.92,25450,882.25,98980,2222.0,39310
1,2022- 10- 28,169.8,30550,1387.75,,86.1,22530,829.25,33950,2211.5,44840
2,2022- 10- 27,178.85,19570,1382.25,,85.12,30200,838.5,36090,2287.5,46130
3,2022- 10- 26,179.75,25200,1381.75,,88.5,23370,840.5,39250,2335.0,56820
4,2022- 10- 25,185.8,28940,1382.0,98750.0,88.45,25860,834.75,40780,2215.0,40190
5,2022- 10- 24,190.4,18490,1372.0,,87.92,26650,838.75,38010,2175.0,31670
6,2022- 10- 21,190.9,17810,1395.5,,89.12,23940,850.75,41910,2206.0,31460
7,2022- 10- 20,191.05,20020,1389.5,,87.03,15120,849.25,34080,2209.5,39800
8,2022- 10- 19,192.3,19270,1372.5,,87.38,21750,841.25,39810,2170.5,39280
9,2022- 10- 18,195.1,18450,1372.0,143270.0,86.47,27230,849.5,46280,2193.0,58180
10,2022- 10- 17,195.55,21870,1385.25,,84.95,27110,861.0,42650,2229.0,42210
11,2022- 10- 14,196.7,31210,1383.75,,93.38,750,859.75,45070,2306.0,35860
12,2022- 10- 13,202.15,34570,1395.75,,93.42,2580,892.25,63570,2359.5,71880
13,2022- 10- 12,209.75,31780,1395.5,,93.1,2230,882.25,44740,2305.0,42530
14,2022- 10- 11,217.85,15730,1376.25,,93.03,2940,901.0,65150,2236.0,44160
15,2022- 10- 10,217.45,11670,1374.0,,93.75,4100,938.0,77240,2260.0,35040
16,2022- 10- 07,218.1,21180,1367.0,,92.95,4870,880.25,38140,2299.0,34590
17,2022- 10- 06,217.7,22410,1358.0,,92.38,5880,879.0,46420,2347.0,46800
18,2022- 10- 05,224.65,23920,1369.75,,90.8,9870,902.0,39960,2352.0,53310
19,2022- 10- 04,219.3,20040,1383.5,,87.0,9620,903.0,50520,2348.0,66170
20,2022- 10- 03,215.75,22480,1373.12,,88.78,5080,912.0,52400,2219.5,51200
